"X97" "X103" "X104" "X107" "X108" "X109" "X110" "X112" "X125" "X133" "X153" "X154" "X155" "X156" "X157" "X171" "X177" "X179" "X214" "X229" "X249" "X274" "X1007" "X1009" "X1010" "X1657" "X2006" "X2007" "X2026" "X2035" "X2051" "X2053" "X2057" "X2058" "X2060" "X2089" "X2090"
"Pinus_clausa" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18
"Pinus_echinata" 0 0 0 0 0 0 0 0 0 0 0 0 0 7 13 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0
"Pinus_elliottii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pinus_palustris" 0 0 0 0 0 0 0 0 0 0 0 0 0 389 77 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pinus_pungens" 0 0 0 0 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pinus_resinosa" 0 0 0 0 106 218 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pinus_rigida" 0 0 0 0 6 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pinus_strobus" 0 2 0 0 11 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 18 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pinus_taeda" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 52 0 0 1 0 0 0 0 0 0 0 2 0 0 0 0 0 0 4 6 0 0 0
"Pinus_virginiana" 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Platanus_occidenta" 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Populus_balsamifer" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 0 0 0
"Populus_deltoides" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 43 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Populus_grandident" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Populus_tremuloide" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 671 22 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prunus_pensylvanic" 0 0 0 47 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Prunus_serotina" 1 19 0 9 0 0 0 0 0 4 7 0 0 0 1 0 0 0 0 1 0 10 410 0 0 4 0 0 0 0 3 2 4 0 0 1 0
"Pyrus_americana" 0 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Quercus_alba" 52 0 0 0 0 0 0 0 37 0 0 0 0 0 10 0 0 0 0 53 0 40 0 0 0 4 5 0 10 0 4 24 231 0 0 1 0
"Quercus_borealis" 32 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 0
"Quercus_chapmanii" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 31
"Quercus_coccinea" 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 11 0 16 0 0 0 0 0 0 1 0 0 2 0 0 0 0 0
"Quercus_ellipsoida" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4189 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Quercus_falcata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 9 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0
"Quercus_geminata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 132
