<  File:  ENAmTrees.txt  Species:  148 Sites:   37 MatFill: 0.09 Occ:    520 5.000% Confidence limit  Index: c Model: fixed - fixed                      
 
#    No             Sp1                Sp2     S1  S2 Com  Obs.Score  Exp.Score  Exp.StDev   Skewness    LowerCL    UpperCL SigZ-Score      Alpha >MeanScore   >CLScore   >BJScore      Alpha
#  1155 "Carya_ovata"      "Carya_tomentosa"   11   9   7      0.081      0.483      0.179      0.119      0.152      0.808      -2.25 0.02445287      -2.25      -2.25       0.00 1.00000000
#  1156 "Carya_ovata"      "Carya_glabra"      11   9   8      0.030      0.477      0.175     -0.012      0.152      0.808      -2.56 0.01040798      -2.56      -2.56       0.00 1.00000000
#  1163 "Carya_ovata"      "Ulmus_rubra"       11   7   7      0.000      0.498      0.182      0.180      0.156      0.779      -2.74 0.00595272       0.00       0.00       0.00 1.00000000
#  1165 "Carya_ovata"      "Carya_cordiformis  11   6   6      0.000      0.515      0.225      0.196      0.091      1.000      -2.29 0.02178818       0.00       0.00       0.00 1.00000000
#  1176 "Carya_ovata"      "Juglans_nigra"     11   4   4      0.000      0.567      0.267      0.169      0.182      1.000      -2.13 0.03316647       0.00       0.00       0.00 1.00000000
#  1181 "Carya_ovata"      "Celtis_occidental  11   4   4      0.000      0.577      0.246      0.154      0.182      1.000      -2.35 0.01872313       0.00       0.00       0.00 1.00000000
#  1294 "Fraxinus_american "Carya_glabra"      11   9   6      0.152      0.461      0.148      0.329      0.242      0.808      -2.09 0.03652227       0.00       0.00       0.00 1.00000000
#  1325 "Fraxinus_american "Carpinus_carolini  11   3   3      0.000      0.605      0.264      0.058      0.273      1.000      -2.29 0.02175629       0.00       0.00       0.00 1.00000000
#  1444 "Quercus_rubra"    "Magnolia_acuminat  11   5   4      0.127      0.532      0.199      0.221      0.291      1.000      -2.03 0.04205722       0.00       0.00       0.00 1.00000000
#  1570 "Quercus_velutina" "Sassafras_albidum  11   8   6      0.114      0.514      0.190      0.381      0.205      1.000      -2.11 0.03439206       0.00       0.00       0.00 1.00000000
#  1581 "Quercus_velutina" "Robinia_pseudoaca  11   5   5      0.000      0.519      0.222      0.227      0.127      1.000      -2.33 0.01943588       0.00       0.00       0.00 1.00000000
#  1583 "Quercus_velutina" "Quercus_coccinea"  11   5   5      0.000      0.547      0.224      0.122      0.127      1.000      -2.44 0.01427215       0.00       0.00       0.00 1.00000000
