"X1882" "X1889" "X1890" "X1892" "X1893" "X1894" "X1906" "X1907" "X1908" "X1909" "X1911" "X1912" "X1916" "X1920" "X1921" "X1922" "X1924" "X1925" "X1926" "X1927" "X1929" "X1930" "X1933" "X1938" "X1941" "X1943" "X1944" "X1952" "X1964" "X1965" "X1966" "X1972" "X1975" "X1976" "X1980" "X1981" "X1983" "X1985" "X1994" "X1997" "X1999" "X2000" "X2010" "X2011" "X2013" "X2016" "X2017" "X2019" "X2020"
"Leopardus_pardal" 13 0 8 1 30 46 0 0 0 1 1 0 0 11 0 0 0 0 3 17 9 5 9 16 31 3 1 0 6 0 0 0 0 0 30 18 17 9 12 3 0 0 3 0 0 11 0 0 0
"Leopardus_tigrin" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Leopardus_wiedii" 0 0 0 0 0 15 1 0 0 4 0 0 0 5 0 0 0 0 0 0 4 0 5 2 0 0 0 0 0 0 0 0 0 0 0 0 1 2 1 0 0 0 0 0 27 0 0 0 0
"Lepus_alleni" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 25 0 0 0 0 0 0 0 0 0
"Lepus_americanus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 47 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lepus_europaeus" 0 0 0 0 0 0 0 7 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 2 0 0 0 0
"Lontra_canadensi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lontra_longicaud" 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lycalopex_culpae" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Lycalopex_gymnoc" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 38 0 0 0 0
"Lynx_rufus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 13 4 3 0 0 0 0 0 0 0 0 0 0 2 0 10 11 3 0 1 0 0 0 0 0 13 15 0 0 0 0 0 0 0 0
"Mazama_americana" 2 4 0 0 0 39 0 0 0 0 347 0 0 0 0 0 0 0 3 0 0 0 0 20 21 0 0 0 0 0 0 0 0 0 0 0 0 37 0 0 0 0 0 0 0 0 0 0 0
"Mazama_gouazoubi" 0 2 0 3 0 53 24 15 3 0 0 0 0 0 0 0 0 0 0 0 0 0 22 24 0 0 0 0 0 0 0 0 0 0 0 5 0 0 0 0 0 0 0 0 72 0 0 0 0
"Mazama_nana" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mazama_nemorivag" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 55 0 0 0 0 0 0 0 0 0 0 0
"Mazama_rufina" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mazama_temama" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 9 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mephitis_macrour" 0 0 0 0 0 0 0 0 0 6 0 0 0 4 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mephitis_mephiti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 11 13 0 0 4 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0
"Mustela_erminea" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Mustela_frenata" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Myoprocta_acouch" 0 0 0 0 0 17 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 77 0 0 0 0 0 0 0 0 0 0 0
"Myoprocta_partti" 0 0 0 0 0 0 0 0 0 0 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Myoprocta_pratti" 0 0 0 0 0 0 0 0 0 0 0 24 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Myrmecophaga_tri" 1 1 0 0 0 2 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 4 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 7 0 0 0 0 0 2 0 0 0 0 0
"Nasua_narica" 0 0 0 0 0 0 0 0 0 174 0 0 0 10 0 0 0 0 51 68 58 10 0 0 0 0 0 0 0 0 0 0 0 0 0 0 33 0 0 6 0 0 0 0 0 0 0 0 0
"Nasua_nasua" 0 0 0 2 26 4 0 0 0 0 1 0 39 0 0 0 0 0 0 0 0 0 2 2 2 0 0 0 0 0 0 0 0 0 0 3 0 2 12 0 0 0 0 0 0 0 0 31 2
"Nasuella_olivace" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Odocoileus_hemio" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 28 2059 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Odocoileus_virgi" 0 0 0 0 0 0 0 0 0 53 0 0 0 124 190 1603 32 10 65 9 103 7 0 0 0 0 0 0 10 0 0 178 0 1497 0 0 3 0 0 81 53 0 0 0 0 0 86 0 0
"Panthera_onca" 0 0 0 0 0 51 0 0 0 11 0 1 0 13 0 0 0 0 0 1 19 0 0 3 9 0 0 0 0 0 0 0 0 0 0 0 0 14 1 20 0 0 0 0 0 0 0 0 0
"Pecari_tajacu" 3 7 0 1 38 42 0 0 0 44 85 2 0 22 0 0 0 0 24 139 4 7 5 3 1 0 0 0 0 0 0 0 0 0 0 0 4 77 19 4 71 0 3 0 0 0 0 0 0
"Philander_opossu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0
"Potos_flavus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 1
"Priodontes_maxim" 0 0 0 0 0 12 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0
"Procyon_cancrivo" 3 0 6 2 21 1 6 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 5 0 2 0 0 0 0 0 0 8 3 0 13 25
"Procyon_lotor" 0 0 0 0 0 0 0 0 0 19 0 0 0 1 25 1093 62 19 1 1 0 0 0 0 0 0 0 4 0 0 0 223 0 758 0 0 7 0 0 1 67 0 0 0 0 0 0 0 0
"Proechimys_semis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudalopex_gymn" 0 0 0 0 0 0 15 11 5 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Puma_concolor" 1 2 9 0 0 25 0 0 0 47 0 1 0 50 0 0 0 0 0 6 25 5 1 1 6 0 0 0 0 9 8 0 4 0 6 2 0 15 0 26 0 0 0 5 0 26 0 0 0
"Puma_yagouaround" 0 0 0 0 14 2 0 0 0 0 0 0 0 1 0 0 0 0 1 0 0 0 4 1 2 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 5 0 0 0 0
"Rangifer_tarandu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2712 0 0 0 0 0 0 0
"Rattus_norvegicu" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Saimiri_bolivien" 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sapajus_nigritus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0
"Sciurus_aberti" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 40 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sciurus_aestuans" 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0
