"X1193" "X1202" "X1246" "X1248" "X1340" "X1342" "X1381" "X1382" "X1397" "X1421" "X1422" "X1423" "X1443" "X1661" "X1797" "X1803" "X1825" "X1826" "X1827" "X1832" "X1842" "X1846" "X1852" "X1856" "X1893" "X1941" "X2360"
"Proechimys_setosus" 0 0 0 0 0 0 80 20 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Pseudoryzomys_simp" 0 0 25 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0
"Rattus_norvegicus" 0 0 0 0 0 23 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rattus_rattus" 0 0 0 0 0 32 0 0 1 2 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0
"Rhagomys_rufescens" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Rhipidomys_macruru" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0
"Rhipidomys_mastaca" 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 10 0 0 0 0 0
"Scapteromys_aquati" 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Sooretamys_angouya" 0 106 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 8 0 0 0 0 0 0
"Thalpomys_lasiotis" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 0 0 0 0 0
"Thaptomys_nigrita" 0 32 0 0 0 0 0 0 0 0 0 0 0 106 0 0 0 13 0 0 0 0 0 0 0 0 0
"Thrichomys_pachyur" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 84 0 0 0
"Trinomys_iheringi" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 20 0 0 0 0 0 0 0 0 0 0
