"X738" "X746" "X747" "X752" "X801" "X815" "X816" "X918" "X920" "X921" "X927" "X930" "X932" "X936" "X944" "X945" "X946" "X947" "X949" "X950" "X951" "X952" "X953" "X954" "X955" "X1287" "X1297" "X1298" "X1299" "X1697" "X1734" "X1737" "X1740" "X1743" "X1746" "X1752" "X1757"
"Molossus_molossus" 0 0 266 0 0 18 141 0 0 0 1 2 0 0 0 0 0 1 0 0 0 0 0 6 21 0 1 0 0 0 45 0 0 0 0 9 14
"Molossus_rufus" 0 0 11 0 0 0 5 0 0 0 395 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 1
"Myotis_albescens" 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Myotis_keaysi" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 19 0 0 0 0 0 0 0 0 0 1 0 0
"Myotis_levis" 0 0 0 0 1 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Myotis_nigricans" 0 1 23 13 4 2 13 3 0 1 46 1 7 0 0 0 0 0 6 0 0 1 0 8 0 4 4 14 0 0 33 2 0 0 0 0 1
"Myotis_riparius" 0 0 35 0 0 0 0 0 0 0 14 1 0 0 0 0 0 6 0 4 0 0 0 0 0 0 0 0 0 13 8 0 4 0 0 0 0
"Myotis_ruber" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0
"Natalus_stramineus" 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Noctilio_albiventr" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 3 0 0 0 0 0
"Noctilio_leporinus" 0 0 8 0 0 2 0 0 0 0 284 1 0 0 0 0 0 1 0 0 3 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0
"Nyctinomops_latica" 0 0 27 0 0 0 6 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 12 0
"Nyctinomops_macrot" 0 0 2 0 0 0 12 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Peropteryx_macroti" 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phylloderma_stenop" 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0
"Phyllostomus_disco" 2 0 0 0 0 0 0 0 0 0 0 2 7 5 0 0 0 0 0 0 0 4 0 0 0 85 0 0 0 0 0 4 0 0 0 0 0
"Phyllostomus_elong" 0 0 0 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"Phyllostomus_hasta" 6 0 19 0 0 0 0 0 0 0 111 0 1 0 0 2 0 3 0 0 16 5 0 0 0 10 0 5 0 11 36 0 0 7 1 0 0
"Platyrrhinus_brach" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 1 0 0
"Platyrrhinus_helle" 4 0 0 0 0 0 0 0 0 0 0 0 2 4 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 5 2 0 0
"Platyrrhinus_infus" 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 6 4 0 0
